original_index,filename,dataset_source,label,country_code,avg_red,avg_green,avg_blue,brightness,saturation,red_tendency,blue_tendency,processed_successfully,color_cluster,color_name
0,ANONYMOUS-0.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5203372549019608,0.3969078431372549,0.2420627450980392,0.38643594771241835,0.5523105882352941,0.44883402553357055,0.20879918800841968,True,0,Warm_Tones
1,ANONYMOUS-1.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5453419607843137,0.5408580392156863,0.49373098039215685,0.526643660130719,0.2745729411764706,0.34516799935206943,0.3125014155796804,True,2,Neutral_Colors
2,ANONYMOUS-10.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.2197419607843137,0.30137568627450984,0.29328549019607847,0.2714677124183007,0.5076070588235294,0.26981930804648674,0.36012279012315773,True,1,Cool_Tones
3,ANONYMOUS-100.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.4493211764705882,0.438783137254902,0.23070117647058824,0.3729351633986928,0.6526945098039215,0.4016075884506548,0.20620293007967475,True,0,Warm_Tones
4,ANONYMOUS-101.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.6241980392156863,0.5752027450980393,0.3774035294117647,0.5256014379084967,0.6064898039215686,0.39586246557027677,0.2393469416462582,True,0,Warm_Tones
5,ANONYMOUS-102.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.886918431372549,0.7697490196078431,0.547841568627451,0.7348363398692811,0.41034901960784315,0.40231998198416963,0.24850944824687424,True,5,Balanced_Natural
6,ANONYMOUS-103.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5412341176470589,0.551115294117647,0.3657349019607843,0.4860281045751634,0.5438082352941176,0.3711950957548398,0.250832306256697,True,0,Warm_Tones
7,ANONYMOUS-104.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.018553725490196078,0.06596274509803922,0.1171592156862745,0.06722522875816994,0.8198223529411764,0.09199737378142903,0.5809259257998945,True,1,Cool_Tones
8,ANONYMOUS-105.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.3336470588235294,0.24453607843137254,0.20054156862745098,0.2595749019607843,0.5162870588235294,0.42845260700041093,0.2575252969211062,True,4,Dark_Moody
9,ANONYMOUS-106.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.7068980392156862,0.6318427450980392,0.3954835294117647,0.57807477124183,0.496816862745098,0.4076160309856836,0.22804622114653647,True,0,Warm_Tones
10,ANONYMOUS-107.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.4274133333333333,0.3722019607843137,0.31627529411764704,0.3719635294117647,0.30353568627450983,0.38302406599305777,0.2834283343042443,True,4,Dark_Moody
11,ANONYMOUS-108.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5563117647058824,0.4761388235294118,0.27924901960784315,0.4372332026143791,0.5195627450980391,0.4241148943436414,0.21289082122712394,True,0,Warm_Tones
12,ANONYMOUS-109.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.6698968627450981,0.6609,0.45296470588235294,0.5945871895424837,0.4056988235294117,0.3755527078138895,0.2539377795279643,True,2,Neutral_Colors
13,ANONYMOUS-11.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.7526521568627451,0.7099411764705882,0.5578827450980391,0.6734920261437908,0.30860274509803926,0.3725120987005098,0.2761143647970309,True,2,Neutral_Colors
14,ANONYMOUS-110.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5954909803921569,0.6457286274509804,0.6672282352941177,0.6361492810457516,0.6187878431372549,0.3120287884757985,0.34961808784838927,True,2,Neutral_Colors
15,ANONYMOUS-111.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.7281439215686275,0.6599623529411764,0.597256862745098,0.6617877124183006,0.4007360784313726,0.36675585496140184,0.3008298838171347,True,2,Neutral_Colors
16,ANONYMOUS-112.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.4253854901960784,0.4621576470588235,0.3962129411764706,0.42791869281045747,0.42049607843137254,0.33135980112051927,0.3086354481181165,True,4,Dark_Moody
17,ANONYMOUS-113.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.4956894117647059,0.5671062745098039,0.5470356862745098,0.5366104575163398,0.42580117647058824,0.3079136810870736,0.33980909789280095,True,2,Neutral_Colors
18,ANONYMOUS-114.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.6969321568627451,0.644266274509804,0.48284078431372546,0.6080130718954249,0.41806470588235295,0.38208157411734056,0.264709505942588,True,2,Neutral_Colors
19,ANONYMOUS-115.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5604286274509804,0.5763258823529411,0.5794239215686274,0.572059477124183,0.29787137254901963,0.3265559633253304,0.3376243246926818,True,2,Neutral_Colors
20,ANONYMOUS-116.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.32975882352941177,0.4727192156862745,0.3851764705882353,0.3958848366013072,0.548901568627451,0.2776552803462799,0.32431666203596937,True,1,Cool_Tones
21,ANONYMOUS-117.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.9146356862745099,0.8790643137254901,0.872227843137255,0.888642614379085,0.09225725490196078,0.3430833079543751,0.32717596547356476,True,5,Balanced_Natural
22,ANONYMOUS-118.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5721019607843137,0.44865764705882355,0.3477454901960784,0.4561683660130719,0.5088090196078431,0.4180485286868774,0.2541059120557265,True,0,Warm_Tones
23,ANONYMOUS-119.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.4221403921568627,0.5027717647058823,0.5066219607843138,0.4771780392156863,0.37900823529411765,0.29488650816384676,0.35390117541581684,True,1,Cool_Tones
24,ANONYMOUS-12.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.8657694117647059,0.6849541176470588,0.5074690196078431,0.6860641830065358,0.4330352941176471,0.42064528487959907,0.2465603975143975,True,2,Neutral_Colors
25,ANONYMOUS-120.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.6836913725490196,0.7179850980392156,0.7240509803921569,0.7085758169934641,0.2984207843137255,0.32162686265675144,0.34061311079419504,True,5,Balanced_Natural
26,ANONYMOUS-121.jpg,anonymous,ANONYMOUS,ANONYMOUS,0.5705133333333333,0.4595149019607843,0.39800980392156865,0.47601267973856215,0.36671411764705886,0.39950821907969203,0.2787107305835037,True,0,Warm_Tones
