image_id,filename,dataset_source,label,country_code,topic_cluster,topic_similar_images,topic_similarity_count,color_cluster,color_similar_images,color_similarity_count,country_similar_images,country_similarity_count,total_similar_images,recommendation_quality
367,ANONYMOUS-429.jpg,anonymous,ANONYMOUS,ANONYMOUS,1,"['ANONYMOUS-105.jpg', 'ANONYMOUS-112.jpg', 'ANONYMOUS-113.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-122.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-127.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-139.jpg', 'ANONYMOUS-140.jpg', 'ANONYMOUS-150.jpg', 'ANONYMOUS-152.jpg', 'ANONYMOUS-156.jpg', 'ANONYMOUS-158.jpg']",15,2,"['ANONYMOUS-1.jpg', 'ANONYMOUS-109.jpg', 'ANONYMOUS-11.jpg', 'ANONYMOUS-110.jpg', 'ANONYMOUS-111.jpg', 'ANONYMOUS-113.jpg', 'ANONYMOUS-114.jpg', 'ANONYMOUS-115.jpg', 'ANONYMOUS-12.jpg', 'ANONYMOUS-136.jpg']",10,[],0,24,22.0
368,ANONYMOUS-43.jpg,anonymous,ANONYMOUS,ANONYMOUS,1,"['ANONYMOUS-105.jpg', 'ANONYMOUS-112.jpg', 'ANONYMOUS-113.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-122.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-127.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-139.jpg', 'ANONYMOUS-140.jpg', 'ANONYMOUS-150.jpg', 'ANONYMOUS-152.jpg', 'ANONYMOUS-156.jpg', 'ANONYMOUS-158.jpg']",15,1,"['ANONYMOUS-10.jpg', 'ANONYMOUS-104.jpg', 'ANONYMOUS-116.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-131.jpg', 'ANONYMOUS-141.jpg', 'ANONYMOUS-205.jpg', 'ANONYMOUS-206.jpg']",10,[],0,22,22.0
369,ANONYMOUS-430.jpg,anonymous,ANONYMOUS,ANONYMOUS,3,"['ANONYMOUS-115.jpg', 'ANONYMOUS-125.jpg', 'ANONYMOUS-129.jpg', 'ANONYMOUS-138.jpg', 'ANONYMOUS-147.jpg', 'ANONYMOUS-151.jpg', 'ANONYMOUS-154.jpg', 'ANONYMOUS-164.jpg', 'ANONYMOUS-175.jpg', 'ANONYMOUS-177.jpg', 'ANONYMOUS-182.jpg', 'ANONYMOUS-187.jpg', 'ANONYMOUS-196.jpg', 'ANONYMOUS-208.jpg', 'ANONYMOUS-213.jpg']",15,3,"['ANONYMOUS-123.jpg', 'ANONYMOUS-127.jpg', 'ANONYMOUS-129.jpg', 'ANONYMOUS-138.jpg', 'ANONYMOUS-147.jpg', 'ANONYMOUS-168.jpg', 'ANONYMOUS-169.jpg', 'ANONYMOUS-170.jpg', 'ANONYMOUS-174.jpg', 'ANONYMOUS-185.jpg']",10,[],0,22,22.0
370,ANONYMOUS-431.jpg,anonymous,ANONYMOUS,ANONYMOUS,1,"['ANONYMOUS-105.jpg', 'ANONYMOUS-112.jpg', 'ANONYMOUS-113.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-122.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-127.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-139.jpg', 'ANONYMOUS-140.jpg', 'ANONYMOUS-150.jpg', 'ANONYMOUS-152.jpg', 'ANONYMOUS-156.jpg', 'ANONYMOUS-158.jpg']",15,1,"['ANONYMOUS-10.jpg', 'ANONYMOUS-104.jpg', 'ANONYMOUS-116.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-131.jpg', 'ANONYMOUS-141.jpg', 'ANONYMOUS-205.jpg', 'ANONYMOUS-206.jpg']",10,[],0,22,22.0
371,ANONYMOUS-432.jpg,anonymous,ANONYMOUS,ANONYMOUS,4,"['ANONYMOUS-104.jpg', 'ANONYMOUS-108.jpg', 'ANONYMOUS-116.jpg', 'ANONYMOUS-123.jpg', 'ANONYMOUS-146.jpg', 'ANONYMOUS-15.jpg', 'ANONYMOUS-163.jpg', 'ANONYMOUS-181.jpg', 'ANONYMOUS-189.jpg', 'ANONYMOUS-19.jpg', 'ANONYMOUS-214.jpg', 'ANONYMOUS-215.jpg', 'ANONYMOUS-219.jpg', 'ANONYMOUS-221.jpg', 'ANONYMOUS-242.jpg']",15,5,"['ANONYMOUS-102.jpg', 'ANONYMOUS-117.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-132.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-134.jpg', 'ANONYMOUS-135.jpg', 'ANONYMOUS-142.jpg']",10,[],0,25,22.0
372,ANONYMOUS-433.jpg,anonymous,ANONYMOUS,ANONYMOUS,9,"['ANONYMOUS-10.jpg', 'ANONYMOUS-110.jpg', 'ANONYMOUS-111.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-136.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-142.jpg', 'ANONYMOUS-148.jpg', 'ANONYMOUS-16.jpg', 'ANONYMOUS-162.jpg', 'ANONYMOUS-167.jpg', 'ANONYMOUS-168.jpg', 'ANONYMOUS-17.jpg']",15,5,"['ANONYMOUS-102.jpg', 'ANONYMOUS-117.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-132.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-134.jpg', 'ANONYMOUS-135.jpg', 'ANONYMOUS-142.jpg']",10,[],0,21,22.0
373,ANONYMOUS-434.jpg,anonymous,ANONYMOUS,ANONYMOUS,9,"['ANONYMOUS-10.jpg', 'ANONYMOUS-110.jpg', 'ANONYMOUS-111.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-136.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-142.jpg', 'ANONYMOUS-148.jpg', 'ANONYMOUS-16.jpg', 'ANONYMOUS-162.jpg', 'ANONYMOUS-167.jpg', 'ANONYMOUS-168.jpg', 'ANONYMOUS-17.jpg']",15,5,"['ANONYMOUS-102.jpg', 'ANONYMOUS-117.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-132.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-134.jpg', 'ANONYMOUS-135.jpg', 'ANONYMOUS-142.jpg']",10,[],0,21,22.0
374,ANONYMOUS-435.jpg,anonymous,ANONYMOUS,ANONYMOUS,0,"['ANONYMOUS-11.jpg', 'ANONYMOUS-114.jpg', 'ANONYMOUS-117.jpg', 'ANONYMOUS-131.jpg', 'ANONYMOUS-134.jpg', 'ANONYMOUS-135.jpg', 'ANONYMOUS-159.jpg', 'ANONYMOUS-169.jpg', 'ANONYMOUS-180.jpg', 'ANONYMOUS-190.jpg', 'ANONYMOUS-192.jpg', 'ANONYMOUS-193.jpg', 'ANONYMOUS-194.jpg', 'ANONYMOUS-198.jpg', 'ANONYMOUS-20.jpg']",15,2,"['ANONYMOUS-1.jpg', 'ANONYMOUS-109.jpg', 'ANONYMOUS-11.jpg', 'ANONYMOUS-110.jpg', 'ANONYMOUS-111.jpg', 'ANONYMOUS-113.jpg', 'ANONYMOUS-114.jpg', 'ANONYMOUS-115.jpg', 'ANONYMOUS-12.jpg', 'ANONYMOUS-136.jpg']",10,[],0,23,22.0
375,ANONYMOUS-436.jpg,anonymous,ANONYMOUS,ANONYMOUS,8,"['ANONYMOUS-106.jpg', 'ANONYMOUS-124.jpg', 'ANONYMOUS-149.jpg', 'ANONYMOUS-165.jpg', 'ANONYMOUS-174.jpg', 'ANONYMOUS-191.jpg', 'ANONYMOUS-201.jpg', 'ANONYMOUS-222.jpg', 'ANONYMOUS-227.jpg', 'ANONYMOUS-228.jpg', 'ANONYMOUS-331.jpg', 'ANONYMOUS-353.jpg', 'ANONYMOUS-356.jpg', 'ANONYMOUS-360.jpg', 'ANONYMOUS-38.jpg']",15,3,"['ANONYMOUS-123.jpg', 'ANONYMOUS-127.jpg', 'ANONYMOUS-129.jpg', 'ANONYMOUS-138.jpg', 'ANONYMOUS-147.jpg', 'ANONYMOUS-168.jpg', 'ANONYMOUS-169.jpg', 'ANONYMOUS-170.jpg', 'ANONYMOUS-174.jpg', 'ANONYMOUS-185.jpg']",10,[],0,24,22.0
376,ANONYMOUS-437.jpg,anonymous,ANONYMOUS,ANONYMOUS,6,"['ANONYMOUS-1.jpg', 'ANONYMOUS-101.jpg', 'ANONYMOUS-107.jpg', 'ANONYMOUS-12.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-141.jpg', 'ANONYMOUS-143.jpg', 'ANONYMOUS-144.jpg', 'ANONYMOUS-155.jpg', 'ANONYMOUS-157.jpg', 'ANONYMOUS-161.jpg', 'ANONYMOUS-172.jpg', 'ANONYMOUS-178.jpg', 'ANONYMOUS-185.jpg']",15,5,"['ANONYMOUS-102.jpg', 'ANONYMOUS-117.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-132.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-134.jpg', 'ANONYMOUS-135.jpg', 'ANONYMOUS-142.jpg']",10,[],0,24,22.0
