n_components,total_variance_explained,explained_variance_ratios
2,0.107680511848117,"[0.06278903598665786, 0.04489147586145913]"
10,0.2736373612932344,"[0.06278903598747697, 0.044891476159522235, 0.03368986519887235, 0.028789101101990143, 0.020306670173598197, 0.0184320318116285, 0.01815729099210035, 0.01661481891966355, 0.015392092728157546, 0.014574978220224558]"
50,0.5702216905036066,"[0.06278903598748414, 0.04489147615993296, 0.03368986522229612, 0.02878910153008607, 0.020306684632603107, 0.018432082711147563, 0.01815749299676705, 0.016615000661110765, 0.015394143906270122, 0.014577275073537257, 0.013448429715331164, 0.012858457275932414, 0.011253412940874346, 0.011125702357901437, 0.010967493693962351, 0.010111923952201169, 0.009608626188716463, 0.009256614868212321, 0.00906379721213665, 0.00895659545933611, 0.008519069479332668, 0.008453348217912408, 0.008222067998013708, 0.007997410344689973, 0.007861824784577455, 0.007672027284002077, 0.007478662336565024, 0.007127488169532813, 0.0070409011477660325, 0.0069683356497656805, 0.006686174019301106, 0.006616649330159215, 0.006509838113203774, 0.006289349833961052, 0.006139935004199601, 0.005991346268416859, 0.005898766280011617, 0.005820431043283609, 0.005714389504350171, 0.0056321435355425895, 0.0055356107443368845, 0.005422163458392665, 0.0053562771537366514, 0.005318467991994376, 0.005189716797956638, 0.005055464962132359, 0.0049305799254472866, 0.004900030155708812, 0.004859183917701773, 0.004720824505772213]"
100,0.7436648323318344,"[0.06278903598748423, 0.04489147615993296, 0.03368986522229711, 0.028789101530092, 0.02030668463318133, 0.018432082713673623, 0.018157492998672288, 0.016615000669609668, 0.01539414391474559, 0.014577275114717111, 0.013448430353450225, 0.012858457438301002, 0.01125341361607676, 0.011125705710981686, 0.010967501250797434, 0.010111928446505887, 0.009608646051294715, 0.0092566229284937, 0.009063875675701591, 0.00895662346569819, 0.008519156579970802, 0.008453548112032925, 0.008222162043614178, 0.007997991116391642, 0.007862049699143692, 0.007672516547662638, 0.00747951716912782, 0.0071277893495055355, 0.007041838643534845, 0.006969180018149124, 0.006687448131667141, 0.006618601227854731, 0.006512309183455182, 0.006293219856718168, 0.006149024539728489, 0.005996326784252025, 0.005902806677971175, 0.005826306460408178, 0.005719780139609843, 0.005645570571276256, 0.005550807860201485, 0.005432694861294996, 0.005369046554357639, 0.005335583783623749, 0.0052195952333627315, 0.00507749290379019, 0.004962194852912523, 0.004954739617416774, 0.004919036476098047, 0.004815270324037903, 0.004732204485047315, 0.004690726768074098, 0.004637789866847147, 0.0045070529208958085, 0.0044414372482484985, 0.004406050916294214, 0.0043029392087917204, 0.004255047905165102, 0.0041980704829146145, 0.00418400733744041, 0.0041175498460041164, 0.004039276120465683, 0.0039661390081148435, 0.003929256738392263, 0.0038792470817764707, 0.003827633425814836, 0.003739011065440295, 0.0037369764006222202, 0.003721940565729547, 0.003686410570105902, 0.003612918437150533, 0.0035723712484889824, 0.003495466394271404, 0.003475720323956077, 0.003445038727637302, 0.0033664698797321226, 0.0033253682989635132, 0.003292007303328209, 0.003266533451793655, 0.003222672212274663, 0.003194894490122672, 0.003162970099658847, 0.0030983949041837626, 0.0030234247826918725, 0.003002807045436085, 0.002992224276651821, 0.002932036393145549, 0.002907911747083459, 0.002853466809354887, 0.00278249605538115, 0.0027445390166538817, 0.0027163626777617095, 0.0026982454312501846, 0.00268802563074629, 0.0025941755945653082, 0.002579502029482485, 0.0025312244577017614, 0.0025168679078738272, 0.0024770294717593694, 0.0024679300696704726]"
