n_components,total_variance_explained,first_component_variance,second_component_variance
2,0.107680511848117,0.06278903598665786,0.04489147586145913
10,0.2736373612932344,0.06278903598747697,0.044891476159522235
50,0.5702216905036066,0.06278903598748414,0.04489147615993296
100,0.7436648323318344,0.06278903598748423,0.04489147615993296
